Ano,Registro - Web of Science,Registro - Scopus
1951,1,1
1953,-,1
1954,-,1
1955,-,2
1958,-,2
1959,-,2
1960,-,1
1961,-,1
1963,1,-
1964,-,1
1965,1,2
1966,-,2
1968,-,3
1969,-,7
1970,-,6
1971,-,9
1972,-,4
1973,1,9
1974,2,8
1975,6,23
1976,1,12
1977,3,10
1978,2,12
1979,1,12
1980,1,11
1981,5,10
1982,3,14
1983,7,20
1984,2,19
1985,1,13
1986,2,14
1987,5,26
1988,2,39
1989,1,28
1990,4,27
1991,27,35
1992,19,32
1993,36,41
1994,31,39
1995,43,52
1996,39,53
1997,76,80
1998,75,76
1999,60,72
2000,88,100
2001,80,95
2002,113,125
2003,130,140
2004,161,202
2005,202,226
2006,218,244
2007,232,267
2008,237,270
2009,286,339
2010,280,380
2011,314,411
2012,367,465
2013,363,467
2014,428,512
2015,498,601
2016,573,656
2017,622,726
2018,641,781
2019,810,860
2020,853,912
2021,842,929
2022,828,970
2023,779,1007
2024,283,441
